,freqs,n_s,n_p,bf
127,78175000000.0,1.2161052759453015,1.3048365473023407,0.08873127135703918
128,78200000000.0,1.2160710569043294,1.304763622862342,0.08869256595801267
129,78225000000.0,1.216037290772172,1.3046916041741219,0.08865431340194996
130,78250000000.0,1.216004038220633,1.304620607161148,0.08861656894051495
131,78275000000.0,1.2159713565016088,1.3045507410022834,0.0885793845006746
132,78300000000.0,1.2159392993313896,1.3044821079219238,0.0885428085905342
133,78325000000.0,1.2159079167887537,1.3044148030072327,0.08850688621847902
134,78350000000.0,1.2158772552175696,1.3043489140344064,0.08847165881683683
135,78375000000.0,1.2158473571468607,1.3042845213289498,0.08843716418208913
136,78400000000.0,1.2158182612236679,1.304221697650554,0.0884034364268862
137,78425000000.0,1.2157900021499777,1.304160508085928,0.0883705059359503
138,78450000000.0,1.2157626106388912,1.3041010099785613,0.08833839933967003
139,78475000000.0,1.2157361133840499,1.3040432528837018,0.08830713949965197
140,78500000000.0,1.2157105330319344,1.3039872785286986,0.08827674549676412
141,78525000000.0,1.215685888175373,1.3039331208135911,0.08824723263821821
142,78550000000.0,1.2156621933523417,1.3038808058215363,0.0882186124691946
143,78575000000.0,1.215639459064099,1.3038303518657746,0.08819089280167547
144,78600000000.0,1.2156176917936548,1.3037817695366625,0.08816407774300772
145,78625000000.0,1.215596894046121,1.3037350617901937,0.08813816774407268
146,78650000000.0,1.2155770643972459,1.3036902240513741,0.08811315965412825
147,78675000000.0,1.2155581975442544,1.303647244321535,0.08808904677728058
148,78700000000.0,1.2155402843829095,1.3036061033350668,0.08806581895215726
149,78725000000.0,1.2155233120807054,1.3035667747081057,0.08804346262740026
150,78750000000.0,1.21550726416695,1.3035292251189101,0.08802196095196013
151,78775000000.0,1.2154921206288412,1.30349341449894,0.08800129387009892
152,78800000000.0,1.215477858022464,1.3034592962519647,0.08798143822950055
153,78825000000.0,1.2154644495840712,1.303426817472879,0.08796236788880774
154,78850000000.0,1.215451865356608,1.3033959191952786,0.08794405383867065
155,78875000000.0,1.2154400723186378,1.3033665366429412,0.0879264643243034
156,78900000000.0,1.2154290345259327,1.3033385995050604,0.08790956497912772
157,78925000000.0,1.2154187132543057,1.3033120322132645,0.0878933189589588
158,78950000000.0,1.215409067153781,1.3032867542400361,0.08787768708625521
159,78975000000.0,1.2154000524065312,1.3032626804038228,0.08786262799729161
160,79000000000.0,1.2153916228891712,1.3032397211821523,0.08784809829298101
161,79025000000.0,1.2153837303401156,1.3032177830341993,0.08783405269408373
162,79050000000.0,1.2153763245317188,1.303196768732181,0.0878204442004622
163,79075000000.0,1.2153693534520644,1.3031765777111284,0.08780722425906395
164,79100000000.0,1.215362763476154,1.303157106398107,0.08779434292195298
165,79125000000.0,1.21535649955676,1.3031382485789562,0.08778174902219615
166,79150000000.0,1.215350505402749,1.3031198957411687,0.0877693903384198
167,79175000000.0,1.2153447236713126,1.3031019374431045,0.08775721377179191
168,79200000000.0,1.2153390961533372,1.3030842616702647,0.08774516551692746
169,79225000000.0,1.2153335639633147,1.3030667552001556,0.08773319123684087
170,79250000000.0,1.2153280677306177,1.3030493039699593,0.08772123623934158
171,79275000000.0,1.2153225477861402,1.3030317934352205,0.08770924564908023
172,79300000000.0,1.2153169443555358,1.3030141089413787,0.08769716458584287
173,79325000000.0,1.2153111977459294,1.3029961360827758,0.08768493833684632
174,79350000000.0,1.2153052485302114,1.30297776105718,0.08767251252696862
175,79375000000.0,1.2152990377372435,1.302958871031643,0.08765983329439964
176,79400000000.0,1.2152925070331706,1.3029393544913872,0.0876468474582166
177,79425000000.0,1.2152855988972218,1.3029191015781247,0.08763350268090297
178,79450000000.0,1.2152782568061302,1.302898004444903,0.08761974763877278
179,79475000000.0,1.215270425405093,1.3028759575851736,0.0876055321800806
180,79500000000.0,1.2152620506748453,1.3028528581542076,0.08759080747936232
181,79525000000.0,1.215253080101734,1.3028286062963033,0.08757552619456921
182,79550000000.0,1.2152434628365052,1.302803105450044,0.08755964261353877
183,79575000000.0,1.2152331498518005,1.3027762626509765,0.08754311279917593
184,79600000000.0,1.2152220940918903,1.302747988819121,0.0875258947272306
185,79625000000.0,1.2152102506176308,1.3027181990370338,0.08750794841940301
186,79650000000.0,1.215197576748764,1.3026868128223248,0.08748923607356085
